ID,Black,White,Result
571,Barker W.R.,Yates R.D.,1
572,Yates R.D.,Martins R.,1
573,Yates R.D.,Barker W.R.,0
574,Martins R.,Yates R.D.,0
575,Barker W.R.,Yates R.D.,2
576,Yates R.D.,Martins R.,0
577,Yates R.D.,Barker W.R.,0
578,Martins R.,Yates R.D.,0
579,Barker W.R.,Yates R.D.,0
580,Yates R.D.,Martins R.,0
581,Yates R.D.,Barker W.R.,1
582,Martins R.,Yates R.D.,0
583,Barker W.R.,Yates R.D.,2
584,Yates R.D.,Martins R.,1
585,Yates R.D.,Barker W.R.,0
586,Martins R.,Yates R.D.,0
587,Yates R.D.,Martins R.,0
588,Martins R.,Yates R.D.,0
589,Yates R.D.,Martins R.,0
590,Martins R.,Yates R.D.,0
591,Yates R.D.,Martins R.,0
592,Martins R.,Yates R.D.,0
593,Yates R.D.,Martins R.,0
594,Martins R.,Yates R.D.,0
595,Yates R.D.,Martins R.,0
596,Martins R.,Yates R.D.,0
597,Yates R.D.,Martins R.,0
598,Martins R.,Yates R.D.,0
599,Yates R.D.,Martins R.,0
600,Martins R.,Yates R.D.,0
601,Yates R.D.,Martins R.,0
602,Martins R.,Yates R.D.,0
603,Yates R.D.,Martins R.,0
604,Martins R.,Yates R.D.,0
605,Yates R.D.,Martins R.,0
606,Martins R.,Yates R.D.,0
607,Yates R.D.,Martins R.,0
608,Martins R.,Yates R.D.,0
609,Yates R.D.,Martins R.,0
610,Martins R.,Yates R.D.,0
611,Yates R.D.,Martins R.,0
612,Martins R.,Yates R.D.,0
613,Yates R.D.,Martins R.,0
614,Martins R.,Yates R.D.,0
615,Yates R.D.,Martins R.,0
616,Martins R.,Yates R.D.,0
617,Yates R.D.,Martins R.,0
618,Martins R.,Yates R.D.,0
619,Yates R.D.,Martins R.,0
620,Martins R.,Yates R.D.,0
621,Yates R.D.,Martins R.,0
622,Martins R.,Yates R.D.,0
623,Yates R.D.,Martins R.,0
624,Martins R.,Yates R.D.,0
625,Dykes J.M.,Labadie J.,0
626,Labadie J.,Dykes J.M.,0
627,Dykes J.M.,Labadie J.,0
628,Labadie J.,Dykes J.M.,0
629,Dykes J.M.,Labadie J.,0
630,Labadie J.,Dykes J.M.,0
631,Dykes J.M.,Labadie J.,0
632,Labadie J.,Dykes J.M.,0
633,Dykes J.M.,Labadie J.,0
634,Labadie J.,Dykes J.M.,0
635,Dykes J.M.,Labadie J.,0
636,Labadie J.,Dykes J.M.,0
637,Dykes J.M.,Labadie J.,0
638,Labadie J.,Dykes J.M.,0
639,Dykes J.M.,Labadie J.,0
640,Labadie J.,Dykes J.M.,0
641,Dykes J.M.,Labadie J.,0
642,Dykes J.M.,Labadie J.,0
643,Labadie J.,Dykes J.M.,0
644,Dykes J.M.,Labadie J.,1
645,Labadie J.,Dykes J.M.,0
646,Dykes J.M.,Labadie J.,0
647,Labadie J.,Dykes J.M.,0
648,Dykes J.M.,Labadie J.,0
649,Labadie J.,Dykes J.M.,0
650,Dykes J.M.,Labadie J.,0
651,Labadie J.,Dykes J.M.,0
652,Dykes J.M.,Labadie J.,0
653,Labadie J.,Dykes J.M.,0
654,Labadie J.,Dykes J.M.,0
655,Dykes J.M.,Labadie J.,0
656,Labadie J.,Dykes J.M.,1
657,Dykes J.M.,Labadie J.,0
658,Dykes J.M.,Labadie J.,0
659,Labadie J.,Dykes J.M.,0
660,Dykes J.M.,Labadie J.,0
661,Labadie J.,Dykes J.M.,2
662,Dykes J.M.,Labadie J.,0
663,Labadie J.,Dykes J.M.,0
664,Dykes J.M.,Labadie J.,0
665,Labadie J.,Dykes J.M.,0
666,Dykes J.M.,Labadie J.,0
667,Labadie J.,Dykes J.M.,0
668,Dykes J.M.,Labadie J.,1
669,Steel J.,Bryden W.,0
670,Bryden W.,Steel J.,1
671,Steel J.,Bryden W.,2
672,Bryden W.,Steel J.,0
673,Strickland W.,Birkenshaw J.,0
674,Birkenshaw J.,Strickland W.,1
675,Strickland W.,Birkenshaw J.,1
676,Birkenshaw J.,Strickland W.,1
677,Strickland W.,Birkenshaw J.,0
678,Birkenshaw J.,Strickland W.,1
679,Strickland W.,Birkenshaw J.,0
680,Birkenshaw J.,Strickland W.,0
681,Strickland W.,Birkenshaw J.,1
682,Birkenshaw J.,Strickland W.,0
683,Bletcher J.,Birkenshaw J.,0
684,Birkenshaw J.,Bletcher J.,0
685,Bletcher J.,Birkenshaw J.,1
686,Birkenshaw J.,Bletcher J.,0
687,Bletcher J.,Birkenshaw J.,0
688,Birkenshaw J.,Bletcher J.,0
689,Bletcher J.,Birkenshaw J.,0
690,Birkenshaw J.,Bletcher J.,0
691,Bletcher J.,Birkenshaw J.,0
692,Birkenshaw J.,Bletcher J.,1
693,Bletcher J.,Birkenshaw J.,0
694,Birkenshaw J.,Bletcher J.,0
695,Bletcher J.,Birkenshaw J.,0
696,Birkenshaw J.,Bletcher J.,0
697,Bletcher J.,Birkenshaw J.,0
698,Birkenshaw J.,Bletcher J.,0
699,Bletcher J.,Birkenshaw J.,0
700,Birkenshaw J.,Bletcher J.,1
701,Bletcher J.,Birkenshaw J.,0
702,Birkenshaw J.,Bletcher J.,0
703,Martins R.,Wyllie J.,0
704,Wyllie J.,Martins R.,0
705,Martins R.,Wyllie J.,1
706,Wyllie J.,Martins R.,1
707,Martins R.,Wyllie J.,0
708,Wyllie J.,Martins R.,0
709,Martins R.,Wyllie J.,0
710,Wyllie J.,Martins R.,0
711,Martins R.,Wyllie J.,0
712,Wyllie J.,Martins R.,0
713,Martins R.,Wyllie J.,0
714,Wyllie J.,Martins R.,1
715,Martins R.,Wyllie J.,0
716,Wyllie J.,Martins R.,1
717,Martins R.,Wyllie J.,0
718,Wyllie J.,Martins R.,0
719,Martins R.,Wyllie J.,0
720,Wyllie J.,Martins R.,1
721,Martins R.,Wyllie J.,0
722,Wyllie J.,Martins R.,0
723,Barker C.F.,Reed J.P.,0
724,Reed J.P.,Barker C.F.,0
725,Barker C.F.,Reed J.P.,0
726,Reed J.P.,Barker C.F.,0
727,Barker C.F.,Reed J.P.,0
728,Reed J.P.,Barker C.F.,0
729,Barker C.F.,Reed J.P.,0
730,Reed J.P.,Barker C.F.,0
731,Barker C.F.,Reed J.P.,0
732,Reed J.P.,Barker C.F.,0
733,Barker C.F.,Reed J.P.,0
734,Reed J.P.,Barker C.F.,0
735,Barker C.F.,Reed J.P.,0
736,Reed J.P.,Barker C.F.,0
737,Barker C.F.,Reed J.P.,1
738,Reed J.P.,Barker C.F.,2
739,Barker C.F.,Reed J.P.,0
740,Reed J.P.,Barker C.F.,0
741,Barker C.F.,Reed J.P.,1
